"Value","Manufacturer PN","Designator","Footprint","JLCPCB Part#","Qty"
"TEST_POINT_2MM","","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8","TWV:TEST_POINT_2MM","","8"
"~","AO3400A","VT1,VT6,VT7,VT8","TWV:Q_SOT-23","C20917","4"
"~","F1003WR-S-04PNLNG1GT0R","XS8","TWV:F1003WR-S-04PNLNG1GT0R","C247801","1"
"~","KT-0603R","VD1","TWV:LED_0603","C2286","1"
"-- mixed values --","SD103CW","VD4,VD5,VD11","TWV:D_SOD-123F","C21572","3"
"BM03B-SRSS-TB","BM03B-SRSS-TB(LF)(SN)","XS1,XS2","TWV:BM03B-SRSS-TB","C160389","2"
"-- mixed values --","BM02B-SRSS-TB(LF)(SN)","XS3,XS4,XS5","TWV:BM02B-SRSS-TB","C160388","3"
"220uF 16V","VT220UF16V167RV0088","C6","TWV:CP_Elec_6.3x7.7","C5246575","1"
"2.2uH 1.8A","DFE201612E-2R2M=P2","L1","TWV:L_0805_2012Metric","C337893","1"
"~","PKMCS0909E4000-R1","BUZ1","TWV:PKMCS0909E4000-R1","C910763","1"
"1uF","CL10A105KB8NNNC","C2,C4,C5,C8,C10,C12,C13","TWV:C_0603_1608Metric","C15849","7"
"10uF 10V","CL10A106KP8NNNC","C9,C11,C16","TWV:C_0603_1608Metric","C19702","3"
"~","DRV8837CDSGR","DD2","TWV:WSON-8","C191000","1"
"~","TPS62840DLCR","DD4","TWV:VSON-8","C2071859","1"
"470K 1%","0603WAF4703T5E","R1,R2,R4,R5,R6,R8,R9,R13,R15,R23,R25,R26,R27,R28,R29,R30","TWV:R_0603_1608Metric","C23178","16"
"330R","0603WAF3300T5E","R3","TWV:R_0603_1608Metric"," C23138","1"
"1K","0603WAF1001T5E","R10,R14,R16,R17,R18,R19,R20,R21,R22,R32","TWV:R_0603_1608Metric","C21190","10"
"267K 1%","0603WAF2673T5E","R24,R31","TWV:R_0603_1608Metric","C22963","2"
"~","IRLML6401TRPBF-VB","VT3","TWV:Q_SOT-23","C558179","1"
"P-type","SI2301CDS-T1-GE3","VT2","TWV:Q_SOT-23","C10487","1"
"~","SI2333DDS-T1-GE3","VT4,VT5","TWV:Q_SOT-23","C183004","2"
"0.1uF 50V","CC0603KRX7R9BB104","C1,C3,C7,C15","TWV:C_0603_1608Metric","C14663","4"
