Comment,Designator,Footprint,LCSC Part #
0.1 uF,C1 C3 C14,603,
0.47 uF,C7,603,
1 kOhm,R21,603,
1 uF,C2,603,
1kOhm,R14 R16 R17 R18 R22,603,
1uF,C10,603,
2SC1623,VT1,SOT-23,
5.1 kOhm,R7 R11,603,
10uF,C12,603,
33 mOhm,R25,603,
82,R20,603,
220 uF,C6,6.3X8,
330,R3 R6 R8 R12,RES0603,
360 kOhm,R23,603,
470 kOhm,R1 R2 R4 R5 R9 R13 R15,603,
620 kOhm,R24,603,
918-418K2023S40026,XS7,918-418K2023S40026,
150060RS75000,D2 D3,603,
BL-HB337A-AV-TRB,D4,603,
BL-HKC37A-AV-TRB,D1,603,
BM02B-SRSS-TB,XS3 XS4,BM02B-SRSS-TB,
BM03B-SRSS-TB,XS1 XS2,BM03B-SRSS-TB,
DRV8837CDSGR,DD2,WSON-8,
HOLYIOT-18039,DD1,HOLYIOT-18039,
IRLML6401,VT3,SOT-23,
K2-1102SP-Z4SC-04,SA1,K2-1102SP-Z4SC-04,
MCQ1V2012-4R7-R,L1,805,
SD103CW-AQ,VD3 VD4 VD5 VD10,SOD-123F,
SD0805S040S0R5,VD2 VD6,805,
SI2333,VT2,SOT-23,
SMD-5025-0340-12Ω,BA1,SMD-5025-0340-12Ω,
TPS64201DBVR,DD3,SOT23-6,
1uF,C4 C5 C8 C13,603,
